file,alpha,coverage_target,delta,epsilon_train_target,epsilon_cal,num_bins,cal_size,train_size,seed,device,nominal_coverage,label_smoothing,np_accuracy,np_coverage,np_avg_set_size,np_tau,dp_accuracy,epsilon_train_realized,noise_multiplier,tau_nonprivate_cal,test_coverage_nonprivate_cal,dp_avg_set_size_nonprivate_cal,epsilon_total_basic_composition,beta,coverage_lower_bound_formal,tau_dp_cal,test_coverage_dp_cal,avg_set_size_dp_cal,lambda,noise_scale,k,coverage_bound_formal_ok,privacy_training_ok,coverage_empirical_ok,overall_formal_ok,overall_empirical_ok,tau_q_k,tau_q_kplus2lambda,certificate_width_tau,observed_inflation_tau_grid,observed_inflation_tau_exact,theorem_tau_ok,theorem_idx_ok,q_k_index,q_kplus2lambda_index,crossing_index_dp,empirical_margin_to_bound,empirical_margin_to_target,empirical_margin_to_nominal,inflation_to_certificate_ratio
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.75_target_0.6_beta_0.001_lsmooth_0.5_seed_2.json,0.25,0.6,1e-05,4.0,2.0,50,2000,48000,2,cuda,0.75,0.5,0.7297,0.9085,2.3599,0.3323819637298584,0.4783,3.9932332188719033,0.5584716796875,0.4227134883403778,0.841,3.5124,5.993233218871904,0.001,0.749,0.66,0.9417,5.8788,270.4944571102571,25.0,1501,True,True,True,True,True,0.4399999976158142,1.0,0.56,0.22,0.2373,True,True,21,49,32,0.19269999999999998,0.3417,0.19169999999999998,0.39285714285714285
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.85_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.15000000000000002,0.6,1e-05,4.0,2.0,50,2000,48000,0,cuda,0.85,0.5,0.7274,0.922,2.8996,0.3917069137096405,0.4822,3.9932332188719033,0.5584716796875,0.5742694735527039,0.9084,4.9321,5.993233218871904,0.001,0.849,0.94,0.9984,9.6157,270.4944571102571,25.0,1701,True,True,True,True,True,0.5799999833106995,1.0,0.42,0.36,0.3657,True,True,28,49,46,0.14939999999999998,0.3984,0.14839999999999998,0.8571428571428571
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.85_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.15000000000000002,0.6,1e-05,4.0,2.0,50,2000,48000,1,cuda,0.85,0.5,0.7329,0.9174,2.8184,0.38574591279029846,0.4845,3.9932332188719033,0.5584716796875,0.5309264659881592,0.8932,4.5277,5.993233218871904,0.001,0.849,0.82,0.979,7.8624,270.4944571102571,25.0,1701,True,True,True,True,True,0.5400000214576721,1.0,0.46,0.28,0.2891,True,True,26,49,40,0.13,0.379,0.129,0.6086956521739131
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.85_target_0.6_beta_0.001_lsmooth_0.5_seed_2.json,0.15000000000000002,0.6,1e-05,4.0,2.0,50,2000,48000,2,cuda,0.85,0.5,0.7357,0.9235,2.8588,0.39251554012298584,0.4783,3.9932332188719033,0.5584716796875,0.5477780103683472,0.9019,4.7082,5.993233218871904,0.001,0.849,0.92,0.9932,9.0142,270.4944571102571,25.0,1701,True,True,True,True,True,0.5600000023841858,1.0,0.44,0.36,0.3722,True,True,27,49,45,0.1442,0.3932,0.1432,0.8181818181818181
report_traineps_4.0_caleps_2.0_calsize_4000_nomcov_0.55_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.6,1e-05,4.0,2.0,50,4000,46000,0,cuda,0.55,0.5,0.7303,0.8679,1.8624,0.26231908798217773,0.4748,3.995359909254509,0.5609130859375,0.298633337020874,0.7451,2.4665,5.995359909254509,0.001,0.549,0.34,0.7784,2.7943,270.4944571102571,25.0,2201,False,True,True,False,True,0.30000001192092896,0.4000000059604645,0.1,0.04,0.0414,True,True,14,19,16,0.22939999999999994,0.1784,0.22839999999999994,0.39999999999999997
report_traineps_4.0_caleps_2.0_calsize_4000_nomcov_0.55_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.44999999999999996,0.6,1e-05,4.0,2.0,50,4000,46000,1,cuda,0.55,0.5,0.7265,0.8696,1.8778,0.2781999707221985,0.4769,3.995359909254509,0.5609130859375,0.297548770904541,0.7456,2.4569,5.995359909254509,0.001,0.549,0.34,0.778,2.7834,270.4944571102571,25.0,2201,False,True,True,False,True,0.30000001192092896,0.4000000059604645,0.1,0.04,0.0425,True,True,14,19,16,0.22899999999999998,0.17800000000000005,0.22799999999999998,0.39999999999999997
report_traineps_4.0_caleps_2.0_calsize_4000_nomcov_0.55_target_0.6_beta_0.001_lsmooth_0.5_seed_2.json,0.44999999999999996,0.6,1e-05,4.0,2.0,50,4000,46000,2,cuda,0.55,0.5,0.7352,0.8711,1.8645,0.2742287218570709,0.4761,3.995359909254509,0.5609130859375,0.2958352565765381,0.7441,2.4384,5.995359909254509,0.001,0.549,0.34,0.7812,2.7841,270.4944571102571,25.0,2201,False,True,True,False,True,0.30000001192092896,0.4000000059604645,0.1,0.04,0.0442,True,True,14,19,16,0.23219999999999996,0.18120000000000003,0.23119999999999996,0.39999999999999997
report_traineps_4.0_caleps_2.0_calsize_4000_nomcov_0.65_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.35,0.6,1e-05,4.0,2.0,50,4000,46000,0,cuda,0.65,0.5,0.7266,0.8887,2.0735,0.29483363032341003,0.4748,3.995359909254509,0.5609130859375,0.36946389079093933,0.7949,2.9896,5.995359909254509,0.001,0.649,0.42,0.8407,3.4987,270.4944571102571,25.0,2601,True,True,True,True,True,0.3799999952316284,0.5,0.12,0.04,0.0505,True,True,18,24,20,0.19169999999999998,0.24070000000000003,0.19069999999999998,0.33333333333333337
report_traineps_4.0_caleps_2.0_calsize_4000_nomcov_0.65_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.35,0.6,1e-05,4.0,2.0,50,4000,46000,1,cuda,0.65,0.5,0.7264,0.8884,2.0916,0.31045374274253845,0.4769,3.995359909254509,0.5609130859375,0.35480934381484985,0.787,2.8793,5.995359909254509,0.001,0.649,0.42,0.8382,3.5013,270.4944571102571,25.0,2601,True,True,True,True,True,0.36000001430511475,0.5,0.14,0.06,0.0652,True,True,17,24,20,0.18919999999999992,0.23819999999999997,0.18819999999999992,0.4285714285714285
report_traineps_4.0_caleps_2.0_calsize_4000_nomcov_0.65_target_0.6_beta_0.001_lsmooth_0.5_seed_2.json,0.35,0.6,1e-05,4.0,2.0,50,4000,46000,2,cuda,0.65,0.5,0.7246,0.8817,2.0677,0.29949644207954407,0.4761,3.995359909254509,0.5609130859375,0.3574058711528778,0.7895,2.893,5.995359909254509,0.001,0.649,0.4,0.8214,3.2834,270.4944571102571,25.0,2601,True,True,True,True,True,0.36000001430511475,0.5,0.14,0.04,0.0426,True,True,17,24,19,0.1724,0.22140000000000004,0.1714,0.2857142857142857
